# #0 species name
# #1 Tree shapes were manually lookep up.
# #2 Crown h/w ratio - missing
# #3 Crown diameter based on Berlin tree statistics
# #4 Tree height based on Berlin tree statistics
# #5 Tree LAI summer - missing
# #6 Tree LAI winter - missing
# #7 Height of lad maximum - missing
# #8 Ratio LAD/BAD - missing
# #9 Trunk diameter at breast height from Berlin
species,         shape, crown_ratio, crown_diameter, height, lai_summer, lai_winter, lad_max_height, bad_scale,  trunk_diameter
Default,             1,         1.0,            4.0,   12.0,        3.0,        0.8,            0.6,     0.025,            0.35
Abies,               3,         1.0,            4.0,   12.0,        3.0,        0.8,            0.6,     0.025,            0.80
Acer,                1,         1.0,            7.0,   12.0,        3.0,        0.8,            0.6,     0.025,            0.80
Aesculus,            1,         1.0,            7.0,   12.0,        3.0,        0.8,            0.6,     0.025,            1.00
Ailanthus,           1,         1.0,            8.5,   13.5,        3.0,        0.8,            0.6,     0.025,            1.30
Alnus,               3,         1.0,            6.0,   16.0,        3.0,        0.8,            0.6,     0.025,            1.20
Amelanchier,         1,         1.0,            3.0,    4.0,        3.0,        0.8,            0.6,     0.025,            1.20
Betula,              1,         1.0,            6.0,   14.0,        3.0,        0.8,            0.6,     0.025,            0.30
Buxus,               1,         1.0,            4.0,    4.0,        3.0,        0.8,            0.6,     0.025,            0.90
Calocedrus,          3,         1.0,            5.0,   10.0,        3.0,        0.8,            0.6,     0.025,            0.50
Caragana,            1,         1.0,            3.5,    6.0,        3.0,        0.8,            0.6,     0.025,            0.90
Carpinus,            1,         1.0,            6.0,   10.0,        3.0,        0.8,            0.6,     0.025,            0.70
Carya,               1,         1.0,            5.0,   17.0,        3.0,        0.8,            0.6,     0.025,            0.80
Castanea,            1,         1.0,            4.5,    7.0,        3.0,        0.8,            0.6,     0.025,            0.80
Catalpa,             1,         1.0,            5.5,    6.5,        3.0,        0.8,            0.6,     0.025,            0.70
Cedrus,              1,         1.0,            8.0,   13.0,        3.0,        0.8,            0.6,     0.025,            0.80
Celtis,              1,         1.0,            6.0,    9.0,        3.0,        0.8,            0.6,     0.025,            0.80
Cercidiphyllum,      1,         1.0,            3.0,    6.5,        3.0,        0.8,            0.6,     0.025,            0.80
Cercis,              1,         1.0,            2.5,    7.5,        3.0,        0.8,            0.6,     0.025,            0.90
Chamaecyparis,       5,         1.0,            3.5,    9.0,        3.0,        0.8,            0.6,     0.025,            0.70
Cladrastis,          1,         1.0,            5.0,   10.0,        3.0,        0.8,            0.6,     0.025,            0.80
Cornus,              1,         1.0,            4.5,    6.5,        3.0,        0.8,            0.6,     0.025,            1.20
Corylus,             1,         1.0,            5.0,    9.0,        3.0,        0.8,            0.6,     0.025,            0.40
Cotinus,             1,         1.0,            4.0,    4.0,        3.0,        0.8,            0.6,     0.025,            0.70
Crataegus,           3,         1.0,            3.5,    6.0,        3.0,        0.8,            0.6,     0.025,            1.40
Cryptomeria,         3,         1.0,            5.0,   10.0,        3.0,        0.8,            0.6,     0.025,            0.50
Cupressocyparis,     3,         1.0,            3.0,    8.0,        3.0,        0.8,            0.6,     0.025,            0.40
Cupressus,           3,         1.0,            5.0,    7.0,        3.0,        0.8,            0.6,     0.025,            0.40
Cydonia,             1,         1.0,            2.0,    3.0,        3.0,        0.8,            0.6,     0.025,            0.90
Davidia,             1,         1.0,           10.0,   14.0,        3.0,        0.8,            0.6,     0.025,            0.40
Elaeagnus,           1,         1.0,            6.5,    6.0,        3.0,        0.8,            0.6,     0.025,            1.20
Euodia,              1,         1.0,            4.5,    6.0,        3.0,        0.8,            0.6,     0.025,            0.90
Euonymus,            1,         1.0,            4.5,    6.0,        3.0,        0.8,            0.6,     0.025,            0.60
Fagus,               1,         1.0,           10.0,   12.5,        3.0,        0.8,            0.6,     0.025,            0.50
Fraxinus,            1,         1.0,            5.5,   10.5,        3.0,        0.8,            0.6,     0.025,            1.60
Ginkgo,              3,         1.0,            4.0,    8.5,        3.0,        0.8,            0.6,     0.025,            0.80
Gleditsia,           1,         1.0,            6.5,   10.5,        3.0,        0.8,            0.6,     0.025,            0.60
Gymnocladus,         1,         1.0,            5.5,   10.0,        3.0,        0.8,            0.6,     0.025,            0.80
Hippophae,           1,         1.0,            9.5,    8.5,        3.0,        0.8,            0.6,     0.025,            0.80
Ilex,                1,         1.0,            4.0,    7.5,        3.0,        0.8,            0.6,     0.025,            0.80
Juglans,             1,         1.0,            7.0,    9.0,        3.0,        0.8,            0.6,     0.025,            0.50
Juniperus,           5,         1.0,            3.0,    7.0,        3.0,        0.8,            0.6,     0.025,            0.90
Koelreuteria,        1,         1.0,            3.5,    5.5,        3.0,        0.8,            0.6,     0.025,            0.50
Laburnum,            1,         1.0,            3.0,    6.0,        3.0,        0.8,            0.6,     0.025,            0.60
Larix,               3,         1.0,            7.0,   16.5,        3.0,        0.8,            0.6,     0.025,            0.60
Ligustrum,           1,         1.0,            3.0,    6.0,        3.0,        0.8,            0.6,     0.025,            1.10
Liquidambar,         3,         1.0,            3.0,    7.0,        3.0,        0.8,            0.6,     0.025,            0.30
Liriodendron,        3,         1.0,            4.5,    9.5,        3.0,        0.8,            0.6,     0.025,            0.50
Lonicera,            1,         1.0,            7.0,    9.0,        3.0,        0.8,            0.6,     0.025,            0.70
Magnolia,            1,         1.0,            3.0,    5.0,        3.0,        0.8,            0.6,     0.025,            0.60
Malus,               1,         1.0,            4.5,    5.0,        3.0,        0.8,            0.6,     0.025,            0.30
Metasequoia,         5,         1.0,            4.5,   12.0,        3.0,        0.8,            0.6,     0.025,            0.50
Morus,               1,         1.0,            7.5,   11.5,        3.0,        0.8,            0.6,     0.025,            1.00
Ostrya,              1,         1.0,            2.0,    6.0,        3.0,        0.8,            0.6,     0.025,            1.00
